  新x坐标,   新y坐标, 本公司编号
   497,      351,   U00-70180-701
   494,      361,   U00-70180-701
   495,      374,            none
   495,      384, T47-25161-411KS
   495,      395,   U01-70180-101
   495,      406,   U01-50180-101
   498,      417, H12-04114-201AM
   495,      428, T12-20221-805AM
   496,      438, H12-20241-210MO
   495,      448, T12-20241-B10MO
